year,sample_size,employment,members,covered,perc_mem,per_coverage,education
1973,7627,11854.12875,1375.58332,NA,11.6042546,NA,college
1974,7974,12815.0711000001,1608.15321,NA,12.548922,NA,college
1975,8263,13552.60422,1689.16172,NA,12.4637424,NA,college
1976,8574,14246.6210199999,1808.47971,NA,12.694095,NA,college
1977,10583,15105.25594,2718.92407,3413.5101,17.9998546,22.5981608,college
1978,10882,16044.73491,2929.72499,3624.61398000001,18.2597279,22.5906759,college
1979,5550,8374.58289000004,1998.47693,2414.77902,23.8636001,28.8346171,college
1980,6865,8655.68769999998,2012.50177,2424.88637,23.2506275,28.0149489,college
1981,2831,16102.50292,3175.43283999999,3859.36848,19.7201192,23.9675074,college
1983,38414,19598.6893716667,3446.13827750001,4347.42929333334,17.5835132,22.1822455,college
1984,39463,20550.8957800003,3400.99689916667,4270.477425,16.5491417,20.780006,college
1985,41305,21427.6365691667,3468.9095775,4283.62957583335,16.1889508,19.991143,college
1986,41723,22237.5257441667,3536.76654666666,4354.65620749999,15.9044966,19.5824667,college
1987,42449,23108.195065,3678.10176916667,4431.96456833334,15.916872,19.1791892,college
1988,41279,24226.2875025001,3901.84182666667,4711.89751500002,16.1058187,19.449523,college
1989,40209,23495.4895883335,3783.45013416668,4607.42320166666,16.1028787,19.6098193,college
1990,43376,24135.207345,3754.23127333333,4590.36562749999,15.5549988,19.0193757,college
1991,43078,24381.5903300001,3849.941245,4611.94505083333,15.7903611,18.915686,college
1992,42491,24580.9237341667,3813.48618916666,4606.30451666665,15.5140072,18.7393471,college
1993,42642,25447.0741949999,4041.36512166667,4806.706005,15.8814534,18.8890323,college
1994,42775,26432.8303103917,4235.85948849165,4977.18998436666,16.0249933,18.8295766,college
1995,43683,27247.9379533167,4221.18744411667,4947.80507266667,15.4917687,18.1584566,college
1996,39103,28315.7318040664,4295.29275400831,5033.74015097498,15.1692807,17.7771851,college
1997,40295,29206.4861617835,4437.54962329999,5158.87218905002,15.1937127,17.6634475,college
1998,41490,30351.2565338333,4525.64142601666,5251.42087374999,14.9108871,17.3021525,college
1999,42842,31586.834034183,4798.63733866666,5492.55501513333,15.1918902,17.3887476,college
2000,43568,32403.0471918918,4737.39602539167,5438.52777970833,14.6202176,16.7840003,college
2001,47058,32910.5007481835,4826.24128442499,5500.02712715,14.6647453,16.7120739,college
2002,52172,33604.2710919084,4976.94304086666,5641.2021857,14.8104473,16.7871579,college
2003,51927,34868.479375858,5065.77503963333,5756.37947400833,14.5282357,16.508834,college
2004,51792,35721.0055655918,5151.54880435,5888.38551336666,14.4216224,16.4843782,college
2005,52740,36530.2780356079,5287.80146516666,5967.85532435834,14.4751191,16.336736,college
2006,53051,37708.7749579669,5296.48287000833,5975.85945728333,14.045757,15.8473968,college
2007,54499,39421.2566756248,5631.56871847501,6336.75399876667,14.285615,16.0744592,college
2008,55200,40452.611409566,5902.34634699998,6658.84102462499,14.590767,16.4608433,college
2009,55125,39947.9043367918,5723.34765683333,6412.64005911665,14.3270283,16.0525068,college
2010,55792,40607.0379595166,5683.70104258333,6398.310747325,13.996838,15.7566547,college
2011,56021,41273.9392144083,5703.07245333333,6415.06215265,13.8176113,15.5426457,college
2012,57478,42895.970340909,5575.70935122499,6285.244619975,12.9982128,14.6522969,college
2013,58469,44274.0301836835,5720.4774499,6436.13841537498,12.9206165,14.5370513,college
2014,59030,45551.5786945837,5845.72827641667,6578.71031998332,12.8332063,14.442332,college
2015,59187,47635.5779037419,6196.38197929169,6975.43449657501,13.0078867,14.6433293,college
2016,60088,49041.2735701998,6106.13587706666,6892.31613918331,12.4510139,14.0541136,college
2017,60684,50747.1455451082,6195.41012019165,6962.49934879998,12.2083909,13.7199819,college
2018,60326,52734.6679063751,6286.38500494999,7145.18244836665,11.9207821,13.5493084,college
2019,59045,54138.9870177916,6429.63711347502,7321.35993405,11.8761681,13.5232672,college
2020,54232,53746.7720041668,6481.24436119168,7414.90592546667,12.058853300000001,13.7960016,college
2021,54232,55262.1895664747,6458.54176380001,7407.42020540001,11.6870902,13.4041383,college
2022,52948,57600.6390453167,6498.65328290834,7381.31657923335,11.2822592,12.8146439,college
2023,51513,59397.3429737417,6648.01773431668,7532.06583321667,11.1924499,12.6808121,college
2024,52074,59972.8210015581,6655.96911432501,7533.25017445834,11.0983088,12.5611066,college
1973,41468,63665.1624500001,16712.9866099999,NA,26.2513846,NA,less_college
1974,40271,64286.026830001,16568.3218200001,NA,25.7728189,NA,less_college
1975,38225,62151.3186600003,15089.1182,NA,24.2780342,NA,less_college
1976,39074,64530.3209299998,15594.50519,NA,24.1661667,NA,less_college
1977,46608,66228.8714900005,16616.1767,18121.0892800001,25.0890225,27.3613125,less_college
1978,46439,68921.3451600001,16618.62668,18272.92223,24.1124525,26.5127182,less_college
1979,52530,78741.9910400002,18987.6709099999,21125.2983999999,24.1137802,26.8285036,less_college
1980,61729,78823.8159999998,18082.76062,20068.48706,22.9407325,25.4599273,less_college
1981,12602,73435.5458799998,15961.88768,17593.71544,21.735914,23.9580377,less_college
1983,135518,68690.8273283332,14271.2406841666,16184.7165766667,20.7760497,23.5616847,less_college
1984,137785,71643.2661975005,13938.7660316667,15661.0416275001,19.4557934,21.8597531,less_college
1985,138927,73092.8873525002,13527.1912199998,15074.4928474999,18.5068503,20.623748,less_college
1986,137424,74665.0253383329,13438.4131908333,14923.192445,17.9982706,19.9868574,less_college
1987,137985,76194.5510400006,13234.9625908333,14618.9926841665,17.3699587,19.1864013,less_college
1988,131839,77181.1606041669,13099.8227541667,14529.4246125,16.9728249,18.8250914,less_college
1989,136202,79984.1386599995,13177.0014216667,14590.1376258334,16.4745181,18.2412892,less_college
