year,sample_size,employment,members,covered,perc_mem,per_coverage,industry
1973,40245,61886.4753099994,14954.11023,NA,24.1637781,NA,private
1974,39422,62947.4597000009,14703.76503,NA,23.3587905,NA,private
1975,37609,61206.2395999999,13176.7835,NA,21.5284973,NA,private
1976,38669,63848.0206599996,13613.5171299999,NA,21.3217526,NA,private
1977,46052,66086.3753700003,14340.49951,15423.46304,21.6996312,23.3383402,private
1978,46470,69566.2943599997,14424.67402,15663.10833,20.7351475,22.5153699,private
1979,47018,71273.1448300003,15117.9822699999,16529.5018099999,21.2113305,23.1917664,private
1980,55246,71440.7186400011,14331.6285,15525.71125,20.0608685,21.7323005,private
1981,12637,74439.7196399996,13948.45576,15173.83468,18.7379211,20.3840568,private
1983,141311,72655.7246291674,11980.1833808333,13419.9268258333,16.4889737,18.4705704,private
1984,145104,76361.3877791679,11684.0461675,12985.6276916667,15.3009876,17.0054897,private
1985,148185,78449.1537074998,11252.9587116666,12437.5325633332,14.3442705,15.8542603,private
1986,147678,80512.0498749999,11084.6588408333,12203.9177516666,13.7677013,15.1578769,private
1987,148698,82438.4015449997,10857.3160958333,11885.2498508333,13.1702169,14.4171282,private
1988,142409,84216.8119975007,10702.439015,11756.2511891667,12.7081975,13.9595061,private
1989,145372,85988.8536275004,10536.2299466667,11583.1174483333,12.2530184,13.4704872,private
1990,152197,87066.3661266685,10299.3975591667,11425.35613,11.8293642,13.1225824,private
1991,147112,85694.1507758334,9992.96907166667,11006.449325,11.6612032,12.843874,private
1992,144911,86456.2809483335,9778.73872666666,10752.774535,11.3106168,12.4372392,private
1993,142859,87398.2449433344,9627.25599083327,10539.23661,11.0153883,12.0588652,private
1994,140651,89648.59775936,9649.36279841667,10650.63324015,10.7635401,11.8804238,private
1995,140723,91680.5409156514,9432.14802060006,10359.764414425,10.2880589,11.2998507,private
1996,126230,93750.0706128433,9414.97404839999,10328.4395901417,10.0426316,11.0169939,private
1997,129035,96385.8447064408,9363.25991819995,10254.9656718666,9.71435159,10.6394931,private
1998,131129,98328.9221574832,9306.09457465831,10103.629298075,9.46424975,10.2753378,private
1999,132817,100025.38371424,9418.58805888335,10215.969785775,9.41619798,10.2133773,private
2000,134554,101809.915787042,9147.71710335833,9968.53600851665,8.98509472,9.7913213,private
2001,143041,101577.294166284,9141.2633717833,9902.71749623333,8.99931788,9.74894762,private
2002,152871,100581.359984359,8651.54337263334,9369.69629338335,8.60153734,9.31553915,private
2003,150050,102647.628837742,8451.83089084997,9263.66064756666,8.23382958,9.02471989,private
2004,147496,103583.585941553,8204.544435875,8956.19055093334,7.92069956,8.64634141,private
2005,148598,105508.399741698,8255.01983421663,8961.56092552495,7.8240402,8.49369466,private
2006,148602,107845.550933291,7981.28933404166,8687.744830475,7.40066617,8.05572867,private
