"Union Membership, Coverage, Density, and Employment:",,,,,,
Workers with Bachelor's Degree or More,,,,,,
Year,Sample Size,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,%Cov
,,,,,,
1973,7627,11854.12875,1375.58332,,11.6042546927929%,
1974,7974,12815.0711000001,1608.15321,,12.5489220023155%,
1975,8263,13552.60422,1689.16172,,12.4637424945831%,
1976,8574,14246.6210199999,1808.47971,,12.6940950751305%,
1977,10583,15105.25594,2718.92407,3413.5101,17.999854683876%,22.598160803318%
1978,10882,16044.73491,2929.72499,3624.61398000001,18.2597279548645%,22.5906759500504%
1979,5550,8374.58289000004,1998.47693,2414.77902,23.8636001944542%,28.8346171379089%
1980,6865,8655.68769999998,2012.50177,2424.88637,23.2506275177002%,28.014948964119%
1981,2831,16102.50292,3175.43283999999,3859.36848,19.7201192378998%,23.967507481575%
1983,38414,19598.6893716667,3446.13827750001,4347.42929333334,17.5835132598877%,22.1822455525398%
1984,39463,20550.8957800003,3400.99689916667,4270.477425,16.5491417050362%,20.7800060510635%
1985,41305,21427.6365691667,3468.9095775,4283.62957583335,16.1889508366585%,19.9911430478096%
1986,41723,22237.5257441667,3536.76654666666,4354.65620749999,15.9044966101646%,19.5824667811394%
1987,42449,23108.195065,3678.10176916667,4431.96456833334,15.9168720245361%,19.1791892051697%
1988,41279,24226.2875025001,3901.84182666667,4711.89751500002,16.1058187484741%,19.4495230913162%
1989,40209,23495.4895883335,3783.45013416668,4607.42320166666,16.1028787493706%,19.6098193526268%
1990,43376,24135.207345,3754.23127333333,4590.36562749999,15.5549988150597%,19.0193757414818%
1991,43078,24381.5903300001,3849.941245,4611.94505083333,15.7903611660004%,18.9156860113144%
1992,42491,24580.9237341667,3813.48618916666,4606.30451666665,15.5140072107315%,18.7393471598625%
1993,42642,25447.0741949999,4041.36512166667,4806.706005,15.8814534544945%,18.889032304287%
1994,42775,26432.8303103917,4235.85948849165,4977.18998436666,16.0249933600426%,18.8295766711235%
1995,43683,27247.9379533167,4221.18744411667,4947.80507266667,15.4917687177658%,18.1584566831589%
1996,39103,28315.7318040664,4295.29275400831,5033.74015097498,15.1692807674408%,17.7771851420403%
1997,40295,29206.4861617835,4437.54962329999,5158.87218905002,15.1937127113342%,17.6634475588799%
1998,41490,30351.2565338333,4525.64142601666,5251.42087374999,14.9108871817589%,17.3021525144577%
1999,42842,31586.834034183,4798.63733866666,5492.55501513333,15.1918902993202%,17.3887476325035%
2000,43568,32403.0471918918,4737.39602539167,5438.52777970833,14.6202176809311%,16.7840003967285%
2001,47058,32910.5007481835,4826.24128442499,5500.02712715,14.6647453308105%,16.7120739817619%
2002,52172,33604.2710919084,4976.94304086666,5641.2021857,14.8104473948479%,16.7871579527855%
2003,51927,34868.479375858,5065.77503963333,5756.37947400833,14.5282357931137%,16.5088340640068%
2004,51792,35721.0055655918,5151.54880435,5888.38551336666,14.4216224551201%,16.4843782782555%
2005,52740,36530.2780356079,5287.80146516666,5967.85532435834,14.4751191139221%,16.3367360830307%
2006,53051,37708.7749579669,5296.48287000833,5975.85945728333,14.0457570552826%,15.8473968505859%
2007,54499,39421.2566756248,5631.56871847501,6336.75399876667,14.2856150865555%,16.0744592547417%
2008,55200,40452.611409566,5902.34634699998,6658.84102462499,14.5907670259476%,16.4608433842659%
2009,55125,39947.9043367918,5723.34765683333,6412.64005911665,14.3270283937454%,16.0525068640709%
2010,55792,40607.0379595166,5683.70104258333,6398.310747325,13.9968380331993%,15.7566547393799%
2011,56021,41273.9392144083,5703.07245333333,6415.06215265,13.8176113367081%,15.54264575243%
2012,57478,42895.970340909,5575.70935122499,6285.244619975,12.9982128739357%,14.6522969007492%
2013,58469,44274.0301836835,5720.4774499,6436.13841537498,12.9206165671349%,14.537051320076%
2014,59030,45551.5786945837,5845.72827641667,6578.71031998332,12.8332063555717%,14.4423320889473%
2015,59187,47635.5779037419,6196.38197929169,6975.43449657501,13.0078867077827%,14.6433293819427%
2016,60088,49041.2735701998,6106.13587706666,6892.31613918331,12.4510139226913%,14.0541136264801%
2017,60684,50747.1455451082,6195.41012019165,6962.49934879998,12.2083909809589%,13.7199819087982%
2018,60326,52734.6679063751,6286.38500494999,7145.18244836665,11.9207821786404%,13.5493084788322%
2019,59045,54138.9870177916,6429.63711347502,7321.35993405,11.876168102026%,13.5232672095299%
2020,54232,53746.7720041668,6481.24436119168,7414.90592546667,12.0588533580303%,13.7960016727448%
2021,54232,55262.1895664747,6458.54176380001,7407.42020540001,11.6870902478695%,13.4041383862495%
2022,52948,57600.6390453167,6498.65328290834,7381.31657923335,11.2822592258453%,12.8146439790726%
2023,51513,59397.3429737417,6648.01773431668,7532.06583321667,11.19244992733%,12.6808121800423%
2024,52074,59972.8210015581,6655.96911432501,7533.25017445834,11.0983088612556%,12.5611066818237%
"Copyright 2025 by Barry T. Hirsch, David A. Macpherson, and William E. Even.  The use of this data requires citation.        ",,,,,,
