"Union Membership, Coverage, Density, and Employment:",,,,,,
Workers with less than Bachelor's Degree,,,,,,
Year,Sample Size,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,%Cov
,,,,,,
1973,41468,63665.1624500001,16712.9866099999,,26.2513846158981%,
1974,40271,64286.026830001,16568.3218200001,,25.7728189229965%,
1975,38225,62151.3186600003,15089.1182,,24.2780342698097%,
1976,39074,64530.3209299998,15594.50519,,24.1661667823792%,
1977,46608,66228.8714900005,16616.1767,18121.0892800001,25.0890225172043%,27.3613125085831%
1978,46439,68921.3451600001,16618.62668,18272.92223,24.1124525666237%,26.5127182006836%
1979,52530,78741.9910400002,18987.6709099999,21125.2983999999,24.1137802600861%,26.8285036087036%
1980,61729,78823.8159999998,18082.76062,20068.48706,22.9407325387001%,25.4599273204803%
1981,12602,73435.5458799998,15961.88768,17593.71544,21.7359140515327%,23.9580377936363%
1983,135518,68690.8273283332,14271.2406841666,16184.7165766667,20.7760497927666%,23.5616847872734%
1984,137785,71643.2661975005,13938.7660316667,15661.0416275001,19.4557934999466%,21.8597531318665%
1985,138927,73092.8873525002,13527.1912199998,15074.4928474999,18.5068503022194%,20.6237480044365%
1986,137424,74665.0253383329,13438.4131908333,14923.192445,17.9982706904411%,19.9868574738503%
1987,137985,76194.5510400006,13234.9625908333,14618.9926841665,17.3699587583542%,19.1864013671875%
1988,131839,77181.1606041669,13099.8227541667,14529.4246125,16.9728249311447%,18.8250914216042%
1989,136202,79984.1386599995,13177.0014216667,14590.1376258334,16.4745181798935%,18.2412892580032%
1990,141654,80740.3366133345,13021.7389791667,14514.7472591667,16.1279231309891%,17.9770708084106%
1991,136482,79341.0168958338,12761.8834716666,14177.9120458332,16.0848498344421%,17.8695872426033%
1992,134355,80087.3625383331,12604.7504616667,13972.1613991667,15.7387509942055%,17.4461498856544%
1993,131953,80654.1951533335,12586.1053866666,13875.7357108333,15.6050220131874%,17.2039851546288%
1994,128029,81554.9264850167,12504.4885122,13865.288121875,15.3325974941254%,17.0011654496193%
1995,126624,82790.1856850916,12138.4018371334,13398.5205909667,14.66164290905%,16.1837071180344%
1996,113087,83644.5216737419,11974.0668871751,13124.3771027084,14.3154233694077%,15.6906589865685%
1997,114660,85326.5621219151,11672.3735202499,12764.1327817332,13.6796489357948%,14.959155023098%
1998,115500,86378.6559896923,11685.7701409333,12666.9112932667,13.5285392403603%,14.6643996238708%
1999,116536,87376.6612584831,11678.0556243,12689.7227794334,13.3651882410049%,14.5230114459991%
2000,117558,88382.5781187678,11520.776863525,12505.6078990917,13.0351215600967%,14.1494035720825%
2001,124475,87797.1224848415,11462.5301341083,12378.0569487749,13.0557015538216%,14.0984773635864%
2002,131965,86374.9757834006,11001.76184755,11860.433263325,12.7372100949287%,13.7313306331635%
2003,128903,87489.3985859912,10710.1977932416,11691.9839818583,12.2417092323303%,13.3638858795166%
2004,126066,87832.8740319323,10320.05560705,11198.9208796416,11.7496505379677%,12.7502605319023%
2005,126408,89358.9839849818,10397.586934675,11255.51002355,11.6357490420341%,12.5958353281021%
2006,125610,90528.405979809,10062.6198272334,10884.320702075,11.1154280602932%,12.0231002569199%
2007,122524,90345.7453357422,10038.7782093667,10906.5890978583,11.1115120351315%,12.0720557868481%
2008,119697,88924.5652998745,10195.1837104583,11101.7435998916,11.4649802446365%,12.4844506382942%
2009,114602,84541.9664285069,9603.93746904998,10490.96250615,11.3599643111229%,12.4091774225235%
2010,112036,83466.0020147226,9031.35522348334,9891.2199034584,10.8203999698162%,11.8505977094173%
2011,110238,83936.1816513992,9051.5974057083,9865.95582379999,10.7839040458202%,11.7541156709194%
2012,108606,84707.1929788332,8773.64418361668,9620.66052515003,10.3576138615608%,11.3575488328934%
2013,107409,84862.5759757347,8795.2752642,9580.03055931668,10.3641390800476%,11.2888753414154%
2014,108044,85901.2005799085,8724.20742503335,9563.72969765001,10.1560950279236%,11.1334063112736%
2015,106095,86134.9043639582,8589.89853044167,9457.3758509333,9.9726103246212%,10.979725420475%
2016,105720,87090.6148930666,8443.49797240833,9372.25714219997,9.69507247209549%,10.7615008950233%
2017,103097,87165.7663395436,8616.11493056665,9473.63000920834,9.88474637269974%,10.8685217797756%
2018,99529,87394.5617240899,8453.80332933331,9229.2091252083,9.67314541339874%,10.560392588377%
2019,95682,87627.4596179928,8137.01970231665,9053.55977167498,9.28592458367348%,10.3318750858307%
2020,79439,78458.5057082668,7768.98922792499,8520.90830755,9.9020354449749%,10.860400646925%
2021,79945,81158.6344181673,7545.01148697505,8388.02238080006,9.29662212729454%,10.3353418409824%
2022,76766,84097.8582689507,7781.42319368333,8614.57732514999,9.25281941890717%,10.2435156702995%
2023,74242,85170.0003106515,7767.21721340836,8654.22829345003,9.119663387537%,10.1611226797104%
2024,73512,84570.2822310838,7589.51225407501,8481.40154164169,8.97420719265938%,10.0288204848766%
"Copyright 2025 by Barry T. Hirsch, David A. Macpherson, and William E. Even.  The use of this data requires citation.        ",,,,,,
