"Union Membership, Coverage, Density, and Employment:",,,,,,
Manufacturing Workers,,,,,,
Year,Sample Size,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,%Cov
,,,,,,
1973,13201,20249.1013,7866.60760999998,,38.8491690158844%,
1974,12954,20620.9226600002,7803.84447,,37.8443032503128%,
1975,11464,18620.85914,6696.80407000002,,35.9639912843704%,
1976,11905,19645.7560499999,6990.84887000002,,35.5845242738724%,
1977,13408,20162.4622599999,7159.28436000001,7583.24362000001,35.5079859495163%,37.6107007265091%
1978,13227,20787.95363,7107.23972,7629.6027,34.1892212629318%,36.702036857605%
1979,13488,21377.7078600001,7567.59058999998,8181.23786999999,35.3994488716125%,38.2699489593506%
1980,15134,20975.6823999999,6771.10525000003,7308.61538000002,32.2807401418686%,34.8432779312134%
1981,3450,21435.16728,6702.55544000001,7267.11040000001,31.2689661979675%,33.9027464389801%
1983,35796,19223.1002,5353.69556333334,5875.92741999999,27.8503239154816%,30.5670112371445%
1984,37239,20361.6150325,5297.89662500001,5792.18622500001,26.0190397500992%,28.4465938806534%
1985,37294,20278.6167424999,5034.65774500003,5471.56281166669,24.8274222016335%,26.9819319248199%
1986,36515,20442.0249083333,4909.557265,5282.10706916665,24.0169808268547%,25.8394509553909%
1987,36020,20383.9036683334,4732.66048999999,5057.87766416666,23.217636346817%,24.8130962252617%
1988,34040,20563.2246525,4560.96125333333,4905.78795583333,22.1801847219467%,23.857094347477%
1989,34531,20830.9463508333,4504.03225416668,4820.74166583334,21.6218322515488%,23.1422111392021%
1990,35279,20626.6887899999,4222.64139500001,4552.90231166666,20.4717367887497%,22.072871029377%
1991,33442,19873.4767449999,4016.82391666667,4327.70942,20.2119842171669%,21.776308119297%
1992,32038,19369.6416183333,3805.60586583335,4076.14980333335,19.6472704410553%,21.0440129041672%
1993,30772,18983.9392825001,3628.39688083333,3857.66036583333,19.1129818558693%,20.3206524252892%
1994,29999,19379.8414909001,3533.03143658333,3817.37456228333,18.2304456830025%,19.6976557374001%
1995,29475,19626.6922846167,3469.32294869166,3695.83530164999,17.676554620266%,18.8306584954262%
1996,25517,19736.8682940499,3411.81196253333,3629.42185511667,17.286491394043%,18.3890461921692%
1997,25814,20033.5441260332,3270.33656361666,3462.78739155833,16.3243040442467%,17.2849461436272%
1998,25385,19821.9138084666,3137.42708779166,3328.00826876667,15.8280730247498%,16.7895406484604%
1999,24855,19408.2181619833,3036.69341624167,3226.59470554167,15.646430850029%,16.6248887777328%
2000,24494,19230.1070043583,2842.49577138333,3011.46543228333,14.7814869880676%,15.6601592898369%
2001,24782,18220.7937458666,2678.623220325,2830.87346830833,14.7009134292603%,15.5364990234375%
2002,25144,16994.7234113251,2444.57208039166,2577.56537331666,14.384301006794%,15.1668563485146%
2003,23001,16202.3184474,2192.11748490833,2337.42934714166,13.5296538472176%,14.4265115261078%
2004,22011,15810.2033453,2052.17975600834,2204.463583875,12.9800975322723%,13.9432966709137%
2005,21561,15596.473118025,2033.95593785,2148.40005864167,13.0411267280579%,13.7749090790749%
2006,21070,15725.1368998584,1850.43778292499,1975.70974946666,11.7673873901367%,12.5640228390694%
2007,20392,15437.9668292332,1757.8723147,1875.90869180833,11.3866828382015%,12.1512681245804%
2008,19975,15239.0308541749,1746.16650715,1888.1284874,11.4585138857365%,12.3900823295116%
2009,18053,13571.5403577,1501.05700461667,1630.832639625,11.0603287816048%,12.0165623724461%
2010,17645,13362.8274326334,1444.13008225833,1569.65234316666,10.8070693910122%,11.74640879035%
2011,17645,13691.8708067167,1446.85778803333,1546.96789513334,10.5672761797905%,11.2984403967857%
2012,17904,14039.73576425,1359.73759155833,1494.38264870833,9.68492329120636%,10.6439515948296%
2013,18021,14298.529152125,1455.49053096666,1585.070659775,10.1793020963669%,11.0855504870415%
2014,17951,14552.8594933833,1420.85867926667,1528.41843895833,9.76343303918839%,10.5025298893452%
2015,17512,14612.8109778916,1379.02504695,1476.869094425,9.437096118927%,10.1066738367081%
2016,17576,14887.4703375916,1320.90925525833,1451.346326875,8.87262374162674%,9.74877700209618%
2017,17107,14756.9487490083,1349.44099525833,1484.40907850833,9.14444476366043%,10.0590512156487%
2018,16661,14951.7040049832,1358.90843655,1466.255761675,9.08865258097649%,9.80661287903786%
2019,16256,15179.8923784916,1306.7937747,1448.39413651667,8.60871598124504%,9.54153090715408%
2020,13799,13975.3963610834,1190.32632836667,1301.09209748333,8.51729959249496%,9.30987596511841%
2021,13812,14246.9427945417,1105.5635821,1230.92070654167,7.76000544428825%,8.63989368081093%
2022,13175,14696.4641264584,1161.47777428333,1278.82435388333,7.90311023592949%,8.70157852768898%
2023,12906,15033.0782139666,1211.8117722,1384.72680586667,8.06096866726875%,9.21119973063469%
2024,12328,14456.4038732833,1152.43100651667,1275.8873856,7.9717680811882%,8.82575884461403%
"Copyright 2025 by Barry T. Hirsch, David A. Macpherson, and William E. Even.  The use of this data requires citation.        ",,,,,,
