"Union Membership, Coverage, Density, and Employment:",,,,,,
Private Sector Workers,,,,,,
Year,Sample Size,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,%Cov
,,,,,,
1973,40245,61886.4753099994,14954.11023,,24.1637781262398%,
1974,39422,62947.4597000009,14703.76503,,23.358790576458%,
1975,37609,61206.2395999999,13176.7835,,21.528497338295%,
1976,38669,63848.0206599996,13613.5171299999,,21.3217526674271%,
1977,46052,66086.3753700003,14340.49951,15423.46304,21.6996312141418%,23.3383402228355%
1978,46470,69566.2943599997,14424.67402,15663.10833,20.7351475954056%,22.515369951725%
1979,47018,71273.1448300003,15117.9822699999,16529.5018099999,21.2113305926323%,23.1917664408684%
1980,55246,71440.7186400011,14331.6285,15525.71125,20.0608685612679%,21.7323005199432%
1981,12637,74439.7196399996,13948.45576,15173.83468,18.7379211187363%,20.384056866169%
1983,141311,72655.7246291674,11980.1833808333,13419.9268258333,16.4889737963676%,18.4705704450607%
1984,145104,76361.3877791679,11684.0461675,12985.6276916667,15.3009876608849%,17.0054897665977%
1985,148185,78449.1537074998,11252.9587116666,12437.5325633332,14.3442705273628%,15.8542603254318%
1986,147678,80512.0498749999,11084.6588408333,12203.9177516666,13.7677013874054%,15.1578769087791%
1987,148698,82438.4015449997,10857.3160958333,11885.2498508333,13.1702169775963%,14.417128264904%
1988,142409,84216.8119975007,10702.439015,11756.2511891667,12.7081975340843%,13.9595061540604%
1989,145372,85988.8536275004,10536.2299466667,11583.1174483333,12.2530184686184%,13.4704872965813%
1990,152197,87066.3661266685,10299.3975591667,11425.35613,11.8293642997742%,13.1225824356079%
1991,147112,85694.1507758334,9992.96907166667,11006.449325,11.6612032055855%,12.8438740968704%
1992,144911,86456.2809483335,9778.73872666666,10752.774535,11.3106168806553%,12.4372392892838%
1993,142859,87398.2449433344,9627.25599083327,10539.23661,11.0153883695602%,12.0588652789593%
1994,140651,89648.59775936,9649.36279841667,10650.63324015,10.7635401189327%,11.8804238736629%
1995,140723,91680.5409156514,9432.14802060006,10359.764414425,10.2880589663982%,11.2998507916927%
1996,126230,93750.0706128433,9414.97404839999,10328.4395901417,10.0426316261292%,11.0169939696789%
1997,129035,96385.8447064408,9363.25991819995,10254.9656718666,9.71435159444809%,10.6394931674004%
1998,131129,98328.9221574832,9306.09457465831,10103.629298075,9.46424975991249%,10.2753378450871%
1999,132817,100025.38371424,9418.58805888335,10215.969785775,9.41619798541069%,10.2133773267269%
2000,134554,101809.915787042,9147.71710335833,9968.53600851665,8.98509472608566%,9.79132130742073%
2001,143041,101577.294166284,9141.2633717833,9902.71749623333,8.99931788444519%,9.74894762039185%
2002,152871,100581.359984359,8651.54337263334,9369.69629338335,8.6015373468399%,9.31553915143013%
2003,150050,102647.628837742,8451.83089084997,9263.66064756666,8.23382958769798%,9.02471989393234%
2004,147496,103583.585941553,8204.544435875,8956.19055093334,7.92069956660271%,8.64634141325951%
2005,148598,105508.399741698,8255.01983421663,8961.56092552495,7.82404020428658%,8.49369466304779%
2006,148602,107845.550933291,7981.28933404166,8687.744830475,7.4006661772728%,8.05572867393494%
2007,146614,108713.798464342,8113.62079971667,8870.01422314999,7.4632853269577%,8.1590510904789%
2008,144506,108072.588921615,8265.20941850834,9084.39467238331,7.64783173799515%,8.40582698583603%
2009,139413,103357.289036815,7430.80375932502,8226.11618840835,7.18943402171135%,7.95891284942627%
2010,137980,103040.38328835,7091.93622130838,7883.5563992167,6.88267648220062%,7.65093863010406%
2011,137410,104778.3739155,7204.48708930833,7971.87360585832,6.87592923641205%,7.60831981897354%
2012,137861,107230.191112017,7029.8958439,7844.33645823333,6.55589252710342%,7.31541812419891%
2013,137988,108724.339862726,7312.727846725,8122.06954325001,6.72593414783478%,7.47033208608627%
2014,139486,111259.542845235,7355.97181205831,8219.29902664998,6.61154240369797%,7.38750025629997%
2015,137826,113193.187453125,7552.444241025,8410.11093156666,6.67217224836349%,7.42987394332886%
2016,138525,115462.19401664,7436.16969215835,8438.06642594166,6.44035041332245%,7.30807706713676%
2017,136904,116961.435707517,7600.23879664164,8490.91880674166,6.498072296381%,7.25958868861198%
2018,133898,119010.889234031,7578.01841374998,8512.4466407333,6.36750012636185%,7.15266168117523%
2019,129865,120755.20043156,7507.94275855835,8562.00240751669,6.21749013662338%,7.09038004279137%
2020,111050,111587.010789491,7082.26404790002,8020.84880103335,6.34685382246971%,7.18797743320465%
2021,112246,115807.472326743,7025.7602550417,8050.14968163338,6.06675893068314%,6.95132166147232%
2022,108688,120400.190334573,7219.14801345833,8163.65567633332,5.99596053361893%,6.78043439984322%
2023,105475,122994.116850769,7408.14371834999,8423.678348025,6.02316930890083%,6.84884637594223%
2024,105239,122722.365184484,7228.77090339167,8214.94459333334,5.89034520089626%,6.69392645359039%
"Copyright 2025 by Barry T. Hirsch, David A. Macpherson, and William E. Even.  The use of this data requires citation.        ",,,,,,
