"Union Membership, Coverage, Density, and Employment:",,,,,,
Public Administration,,,,,,
Year,Sample Size,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,%Cov
,,,,,,
1973,2343,3633.67945999999,728.68034,,20.0535118579865%,
1974,2386,3881.50454999999,817.970400000002,,21.0735395550728%,
1975,2440,4026.04328,862.88166,,21.4324980974197%,
1976,2443,4076.28084,906.33261,,22.2343027591705%,
1977,3122,4283.59560999999,1098.18266,1371.85973,25.6369352340698%,32.0258915424347%
1978,2986,4239.76039,1112.81692,1380.81529,26.247164607048%,32.5682401657104%
1979,3098,4452.20028,1334.8885,1620.07518,29.9826681613922%,36.3881915807724%
1980,3953,4672.38805999998,1302.90946,1602.05668,27.8852999210358%,34.2877477407455%
1981,840,4490.21556,1159.4628,1497.24224,25.8219838142395%,33.3445519208908%
1983,10009,4751.04523083331,1426.3632675,1817.93968333334,30.0220936536789%,38.2639944553375%
1984,9796,4778.44080416665,1360.5132625,1751.07831166667,28.4719079732895%,36.6453915834427%
1985,9974,4985.45185999999,1429.92269166667,1769.5790025,28.6819070577621%,35.4948580265045%
1986,9924,5139.41149416666,1506.34026416667,1860.51067666667,29.3095856904984%,36.2008512020111%
1987,9886,5239.26111333335,1565.51824500001,1880.45014916667,29.8805147409439%,35.8915150165558%
1988,9733,5465.28331583333,1647.565635,2013.76869833334,30.1460236310959%,36.8465572595596%
1989,9801,5576.27628500001,1680.80939916667,2045.07388583333,30.1421463489532%,36.6745442152023%
1990,10228,5619.87995166667,1683.92047,2054.66133,29.9636363983154%,36.5605920553207%
1991,10019,5706.72487666665,1783.41162083334,2128.95258,31.2510520219803%,37.3060315847397%
1992,9676,5616.75956749999,1746.77250916667,2118.06368416667,31.0992926359177%,37.7097100019455%
1993,9620,5797.20576416667,1876.77138833333,2227.4675375,32.3737233877182%,38.4231239557266%
1994,9436,5870.11581744166,1962.97640825834,2308.58517571667,33.440163731575%,39.3277615308762%
1995,9497,5978.47764429999,1908.69744740833,2229.56292529166,31.9261461496353%,37.293154001236%
1996,8281,5790.48234921668,1861.17096379167,2153.61557650833,32.141900062561%,37.1923357248306%
1997,8226,5724.3060083,1827.29168395,2088.67851928333,31.9216281175613%,36.487889289856%
1998,8227,5899.18762034167,1959.62926289167,2212.71240476667,33.2186281681061%,37.5087648630142%
1999,8434,5966.31053359168,1859.667280475,2146.10677069166,31.169468164444%,35.9704166650772%
2000,8455,5978.12860775834,1913.28230748333,2135.32750035833,32.004702091217%,35.7189953327179%
2001,9064,6081.78789373329,1959.63683445,2208.79848460833,32.221394777298%,36.3182425498962%
2002,9944,6161.31826583335,1993.63449140833,2217.29945825834,32.3572725057602%,35.9874188899994%
2003,9749,6249.45661616668,2006.14698245,2243.42433540833,32.1011424064636%,35.8979105949402%
2004,9683,6358.43071216666,2031.9761045,2260.15223990833,31.9571942090988%,35.5457544326782%
2005,9937,6578.17470642499,2095.63904915833,2304.88182816667,31.8574547767639%,35.0383192300797%
2006,9789,6514.82958699999,2039.78953310833,2243.421325875,31.3099443912506%,34.4356089830399%
2007,9908,6716.47148830834,2099.62234078333,2299.81013078334,31.2607944011688%,34.2413455247879%
2008,9948,6777.28512294165,2235.95947292499,2441.15943328333,32.9919636249542%,36.0197246074677%
2009,10034,6857.12909945001,2285.77596044167,2508.46250558333,33.3342999219894%,36.5818172693253%
2010,10086,6957.73385775,2171.69162614166,2419.96435314999,31.2126278877258%,34.7809284925461%
2011,9759,6784.57367666667,2221.66782401667,2462.55880196668,32.7458709478378%,36.2964421510696%
2012,9337,6681.10417657501,2129.75850788334,2319.5925071,31.8773418664932%,34.7187012434006%
2013,9317,6694.60975956664,2147.61151999166,2359.232831425,32.0797115564346%,35.2407813072205%
2014,9406,6739.55835131667,2173.731216075,2393.220378475,32.2533190250397%,35.5100482702255%
2015,9357,6844.30513664169,2148.79960175,2385.64754571667,31.3954383134842%,34.8559498786926%
2016,9336,6855.92046943335,2054.31109191667,2242.46303525834,29.9640446901321%,32.708415389061%
2017,9391,7098.06862379998,2171.12435584167,2386.26203093333,30.5875360965729%,33.6184680461884%
2018,9341,7358.35736117499,2138.00992710833,2352.51815724167,29.0555328130722%,31.9706976413727%
2019,8773,7200.12113341667,2154.19441179167,2374.81444506667,29.9188643693924%,32.9829782247543%
2020,8443,7500.47427714163,2276.80945265,2503.10291553333,30.3555399179459%,33.3725959062576%
2021,8120,7382.44344610833,2143.0670694,2372.55590685833,29.0292382240295%,32.1378141641617%
2022,7800,7677.69256905832,2167.66414370833,2418.80669946667,28.2332748174667%,31.5043449401855%
2023,7717,8017.82503425003,2311.151276275,2561.92740518333,28.8251638412476%,31.9528967142105%
2024,7727,8024.17981472499,2190.14178291667,2468.25594235,27.2942751646042%,30.7602286338806%
"Copyright 2025 by Barry T. Hirsch, David A. Macpherson, and William E. Even.  The use of this data requires citation.        ",,,,,,
