"Union Membership, Coverage, Density, and Employment:",,,,,,
Wholesale and Retail Trade Workers,,,,,,
Year,Sample Size,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,%Cov
,,,,,,
1973,9660,14788.86188,1781.68637,,12.0474882423878%,
1974,9419,14992.84488,1715.33192,,11.4410035312176%,
1975,9477,15392.9926999999,1636.84365,,10.6336936354637%,
1976,9733,16009.11076,1725.10105,,10.7757456600666%,
1977,11753,16599.31728,1774.51371,1924.70953,10.6902815401554%,11.5951128304005%
1978,11765,17230.5641600001,1701.39905,1896.65371,9.87430810928345%,11.0074959695339%
1979,11734,17556.25996,1812.79399,2028.59959,10.3256277740002%,11.5548506379128%
1980,13664,17400.5562700001,1752.76718,1896.47923,10.0730523467064%,10.8989574015141%
1981,3128,18092.71508,1720.23324,1950.47572,9.5078781247139%,10.7804477214813%
1983,35710,18166.8918149999,1590.50039666667,1808.00587583334,8.75493958592415%,9.95220243930817%
1984,36411,18939.08806,1504.4194475,1683.73415583333,7.94346332550049%,8.89026001095772%
1985,37111,19508.2693924999,1412.16972166667,1568.231035,7.23882615566254%,8.03880169987679%
1986,36756,19948.2644158332,1439.26753833334,1571.32540416667,7.21500143408775%,7.87700340151787%
1987,37252,20514.3083374999,1452.13865166667,1588.15234583334,7.07866251468658%,7.74168148636818%
1988,35368,20689.9601433334,1396.95859333333,1575.1987875,6.75186663866043%,7.61334821581841%
1989,36268,21240.9398191668,1332.6112775,1492.72458833333,6.27378672361374%,7.02758282423019%
1990,37862,21739.3202433333,1369.57628333333,1535.00998,6.29999563097954%,7.06098452210426%
1991,36720,21490.5728966666,1437.8371725,1591.4902,6.69054836034775%,7.40552693605423%
1992,36435,21844.8056566667,1440.89293083333,1589.66480583333,6.59604370594025%,7.27708339691162%
1993,36078,22132.1648058334,1396.26511,1538.6339725,6.3087597489357%,6.95202648639679%
1994,35071,22408.512422267,1391.94155766667,1538.976182375,6.21166415512562%,6.8678192794323%
1995,35348,23128.4180300084,1410.49540305833,1567.17292604167,6.09853826463223%,6.77596256136894%
1996,32005,23751.0899596665,1343.20135924166,1489.396269275,5.65532520413399%,6.27085417509079%
1997,31960,23772.732300375,1329.43227578334,1486.80146634167,5.59225678443909%,6.25423043966293%
1998,32584,24354.3751888583,1295.15767870833,1404.75162545833,5.3179670125246%,5.76796419918537%
1999,32924,24771.6732927085,1290.98043324167,1421.06968701667,5.2115187048912%,5.73667213320732%
2000,33339,25231.2545861667,1209.30440451667,1333.45681525,4.79288250207901%,5.28494045138359%
2001,35360,25191.9785341916,1187.43846135833,1301.26054065833,4.71355766057968%,5.1653765141964%
2002,38057,25204.7463251337,1143.75467345,1260.510169675,4.53785434365273%,5.00108264386654%
2003,27201,18420.3377126249,1136.66922064167,1220.13640421667,6.17072954773903%,6.62385448813438%
2004,26986,18847.2340760917,1041.03946548333,1122.068318925,5.52356615662575%,5.95349073410034%
2005,27029,19100.58486995,1037.80502361667,1145.82341715833,5.43336793780327%,5.99889196455479%
2006,26641,19349.4293012251,967.54515815,1038.862439325,5.00038079917431%,5.36895655095577%
2007,25742,18998.779019,1000.39286995833,1087.712032325,5.2655640989542%,5.72516806423664%
2008,25298,18748.5250905751,987.787161925001,1111.36310029167,5.26861250400543%,5.92773631215096%
2009,24331,17953.0763219917,947.078370358335,1042.40732684167,5.27529865503311%,5.8062881231308%
2010,24022,17914.2710116749,876.968732025,970.477095608334,4.89536374807358%,5.4173406213522%
2011,23592,18118.15595655,874.765487808333,975.670564200001,4.8281155526638%,5.38504347205162%
2012,23486,18312.5849931167,872.163299224999,978.825327,4.76264432072639%,5.34509643912315%
2013,23042,18117.1779048167,848.490662333333,937.976346299999,4.68334890902042%,5.17727620899677%
2014,23174,18498.375816825,782.200092116667,910.230960550001,4.22847978770733%,4.92059923708439%
2015,22976,18925.981530425,886.834237183335,981.240204350001,4.68580313026905%,5.18461987376213%
2016,22476,18625.0133169333,792.236018758332,899.611215216665,4.25361320376396%,4.8301238566637%
2017,22127,18899.2193411084,849.317338624999,952.46434775,4.49392832815647%,5.03970198333263%
2018,21271,18824.2754201,819.564849525,942.357727891667,4.35376577079296%,5.00607714056969%
2019,19841,18209.5841456584,751.435538491667,873.582332758334,4.12659347057343%,4.79737669229507%
2020,17598,17508.9144811,799.5702801,887.708504025,4.56664673984051%,5.07003739476204%
2021,17849,18170.7540466,783.147231516668,894.391934233334,4.30993251502514%,4.9221508204937%
2022,16499,17980.1751688501,748.724513150001,867.454390100001,4.16416712105274%,4.8245046287775%
2023,15752,18114.3038511917,706.226615141666,837.627985174999,3.89872342348099%,4.62412461638451%
2024,15649,18070.0490042583,739.2177877,852.436058591667,4.09084558486938%,4.71739768981934%
"Copyright 2025 by Barry T. Hirsch, David A. Macpherson, and William E. Even.  The use of this data requires citation.        ",,,,,,
