year,sample_size,employment,members,covered,perc_mem,per_coverage,sex
1973,29428,45501.7,13904.4,NA,30,NA,male
1974,28617,46155.5,13917,NA,30,NA,male
1975,27188,44768.5,12591,NA,28,NA,male
1976,27636,46189.4,12971.9,NA,28,NA,male
1977,32843,47325.7,14006.2,15235.7,29,32,male
1978,32674,49120.9,14049,15273.7,28,31,male
1979,32924,50030.4,14830.3,16195.8,29,32,male
1980,38283,49347.8,14039.3,15301.9,28,31,male
1981,8581,50270.3,13318.8,14591.7,26,29,male
1983,93023,47856.1,11809.1,13269.7,24,27,male
1984,94627,50022.2,11510.7,12831.9,23,25,male
1985,95591,51015,11264.3,12447.9,22,24,male
1986,93910,51941.8,11172.9,12317.1,21,23,male
1987,93916,52937.8,11071.2,12144.3,20,22,male
1988,90036,53912.1,11019.2,12132.4,20,22,male
1989,91413,54789,10819.7,11954.9,19,21,male
1990,95509,55552.8,10597.3,11774.8,19,21,male
1991,92071,54618.1,10469.5,11542.4,19,21,male
1992,90327,54856.3,10147.8,11170.5,18,20,male
1993,88715,55489.6,10105.3,11066.6,18,19,male
1994,86823,56573.4,10096.4,11099.6,17,19,male
1995,86900,57668.7,9929.3,10867.6,17,18,male
1996,77409,58472.6,9859,10761.3,16,18,male
1997,78848,59825.2,9762.7,10618.6,16,17,male
1998,79983,60972.7,9849.7,10638.5,16,17,male
1999,81352,61913.6,9949,10757.6,16,17,male
2000,82328,62852.6,9578,10354.6,15,16,male
2001,87450,62676.6,9538.1,10289.3,15,16,male
2002,93221,62138.3,9237.5,9962.3,14,16,male
2003,90944,63235.6,9044.4,9847.6,14,15,male
2004,89919,64145.5,8878.2,9637.7,13,15,male
2005,90611,65466.4,8870.2,9597,13,14,male
2006,90738,66811.5,8656.7,9359.6,13,14,male
2007,89417,67468.1,8767.4,9494.4,13,14,male
2008,88068,66845.5,8937.9,9724.3,13,14,male
2009,84623,63538.6,8440.7,9176.1,13,14,male
2010,83668,63530.8,7993.5,8761.3,12,13,male
2011,83463,64699.7,8003,8729.6,12,13,male
2012,84045,65914.8,7887.5,8602.8,12,13,male
2013,84105,66811,7947.9,8680.4,11,13,male
2014,84878,68061.6,7935.9,8714.4,11,12,male
2015,83898,69314.8,7955.7,8753.8,11,12,male
2016,84360,70612.5,7883.2,8699.2,11,12,male
2017,83021,71482.9,8165.3,8929.2,11,12,male
2018,81388,72652.5,8078.9,8863.6,11,12,male
2019,78633,73368.2,7945.4,8839.7,10,12,male
2020,68252,68733,7580.2,8429.1,11,12,male
2021,68586,70756.4,7513.6,8407,10,11,male
2022,66361,73689.9,7770.6,8550.7,10,11,male
2023,64079,75094.4,7841.3,8725.2,10,11,male
2024,64060,74807.6,7630.2,8470.4,10,11,male
1973,19667,30017.6,4184.2,NA,13,NA,female
1974,19628,30945.6,4259.4,NA,13,NA,female
1975,19300,30935.4,4187.3,NA,13,NA,female
1976,20012,32587.6,4431.1,NA,13,NA,female
1977,24348,34008.5,5328.9,6298.9,15,18,female
1978,24647,35845.1,5499.4,6623.9,15,18,female
1979,25156,37086.2,6155.9,7344.3,16,19,female
1980,30311,38131.7,6055.9,7191.4,15,18,female
1981,6852,39267.8,5818.5,6861.4,14,17,female
1983,80909,40433.4,5908.3,7262.4,14,18,female
1984,82621,42172,5829.1,7099.6,13,16,female
1985,84641,43505.5,5731.8,6910.3,13,15,female
1986,85237,44960.7,5802.3,6960.7,12,15,female
1987,86518,46364.9,5841.9,6906.7,12,14,female
1988,83082,47495.3,5982.5,7108.9,12,15,female
1989,84998,48690.7,6140.7,7242.7,12,14,female
1990,89521,49322.7,6178.7,7330.3,12,14,female
1991,87489,49104.5,6142.3,7247.4,12,14,female
1992,86519,49812,6270.4,7407.9,12,14,female
1993,85880,50611.6,6522.2,7615.9,12,15,female
1994,83981,51414.4,6644,7742.9,12,15,female
1995,83407,52369.5,6430.3,7478.8,12,14,female
1996,74781,53487.6,6410.4,7396.8,12,13,female
1997,76107,54707.8,6347.2,7304.4,11,13,female
1998,77007,55757.2,6361.7,7279.9,11,13,female
1999,78026,57049.9,6527.7,7424.7,11,13,female
2000,78798,57933,6680.1,7589.6,11,13,female
2001,84083,58031.1,6750.7,7588.8,11,13,female
2002,90916,57840.9,6741.2,7539.3,11,13,female
2003,89886,59122.3,6731.5,7600.7,11,12,female
2004,87939,59408.4,6593.4,7449.6,11,12,female
2005,88537,60422.9,6815.2,7626.4,11,12,female
2006,87923,61425.7,6702.4,7500.6,10,12,female
2007,87606,62298.9,6903,7749,11,12,female
2008,86829,62531.6,7159.7,8036.3,11,12,female
2009,85104,60951.3,6886.6,7727.5,11,12,female
2010,84160,60542.2,6721.5,7528.3,11,12,female
2011,82796,60510.5,6751.7,7551.4,11,12,female
2012,82039,61688.4,6461.8,7303.1,10,11,female
2013,81773,62325.6,6567.9,7335.8,10,11,female
2014,82196,63391.1,6634,7428.1,10,11,female
2015,81384,64455.7,6830.5,7679,10,11,female
2016,81448,65519.4,6666.5,7565.4,10,11,female
2017,80760,66430,6646.3,7506.9,10,11,female
2018,78467,67476.8,6661.3,7510.8,9.9,11,female
2019,76094,68398.2,6621.3,7535.2,9.7,11,female
2020,65419,63472.3,6670.1,7506.7,10,11,female
2021,65591,65664.4,6490,7388.4,9.9,11,female
2022,63353,68008.6,6509.5,7445.2,9.6,10,female
2023,61676,69473,6574,7461.1,9.5,10,female
2024,61526,69735.5,6615.3,7544.3,9.5,10,female
